変更区分,病名管理番号,病名表記,病名表記カナ,採択区分,病名交換用コード,ICD10-2013-1,ICD10-2013-2,予備1,予備2,レセ電算コード,傷病名省略名称,使用分野,変更履歴番号,変更日付,移行先病名管理番号,単独使用禁止区分,保険請求外区分,予備３,予備４
0,20082599,"非閉塞性肥大型心筋症","ヒヘイソクセイヒダイガタシンキンショウ",1,"J2TU","I422","","517",,4254018,"非閉塞性肥大型心筋症",1,291,20101001,,"00",0,"",""
0,20074531,"非閉塞性慢性腎盂腎炎","ヒヘイソクセイマンセイジンウジンエン",2,"GR3F","N118","","517",,8839400,"非閉塞性慢性腎盂腎炎",1,210,20020601,,"00",0,"",""
0,20105913,"非閉塞性無精子症","ヒヘイソクセイムセイシショウ",1,"PVDG","N46","","517",,8851166,"非閉塞性無精子症",1,511,20230101,,"00",0,"",""
0,20098298,"脾辺縁帯リンパ腫","ヒヘンエンタイリンパシュ",1,"UBD8","C830","","517",,8847419,"脾辺縁帯リンパ腫",1,306,20121001,,"00",0,"",""
0,20096668,"非弁膜症性心房細動","ヒベンマクショウセイシンボウサイドウ",1,"JVRU","I489","","517",,8846906,"非弁膜症性心房細動",1,301,20111001,,"00",0,"",""
0,20104962,"非弁膜症性持続性心房細動","ヒベンマクショウセイジゾクセイシンボウサイドウ",1,"BLMF","I481","","517",,8850690,"非弁膜症性持続性心房細動",1,506,20210601,,"00",0,"",""
0,20099544,"非弁膜症性発作性心房細動","ヒベンマクショウセイホッサセイシンボウサイドウ",1,"QN3M","I480","","517",,8847814,"非弁膜症性発作性心房細動",1,310,20131001,,"00",0,"",""
0,20105777,"被包化膵壊死","ヒホウカスイエシ",1,"HCEA","K868","","517",,8851167,"被包化膵壊死",1,511,20230101,,"00",0,"",""
0,20074353,"被包型胸腺腫","ヒホウガタキョウセンシュ",2,"UVB9","D150","","517",,2126004,"被包型胸腺腫",1,200,,,"00",0,"",""
0,20074368,"非ホジキンリンパ腫","ヒホジキンリンパシュ",1,"Q1M8","C859","","517",,2028017,"非ホジキンリンパ腫",1,200,,,"00",0,"",""
0,20092453,"非麻薬性鎮痛剤依存症","ヒマヤクセイチンツウザイイゾンショウ",1,"JU7G","F192","","517",,8844912,"非麻薬性鎮痛剤依存症",1,272,20081001,,"00",0,"",""
3,20108073,"肥満関連腎症","ヒマンカンレンジンショウ",1,"QVQM","E669","N289","517",,8851865,"肥満関連腎症",1,517,20260101,,"00",0,"",""
0,20079649,"肥満細胞腫症","ヒマンサイボウシュショウ",1,"Q4LD","D470","","517",,8839401,"肥満細胞腫症",1,210,20020601,,"00",0,"",""
0,20074339,"肥満細胞症","ヒマンサイボウショウ",1,"D1D4","Q822","","517",,8839402,"肥満細胞症",1,210,20020601,,"00",0,"",""
0,20079591,"肥満細胞性白血病","ヒマンサイボウセイハッケツビョウ",1,"UNN3","C943","","517",,8839403,"肥満細胞性白血病",1,210,20020601,,"00",0,"",""
0,20074344,"肥満症","ヒマンショウ",1,"D42U","E669","","517",,8839404,"肥満症",1,210,20020601,,"00",0,"",""
0,20092467,"肥満低換気症候群","ヒマンテイカンキショウコウグン",1,"RDHJ","E662","","517",,8844913,"肥満低換気症候群",1,272,20081001,,"00",0,"",""
0,20074533,"非免疫性胎児水腫","ヒメンエキセイタイジスイシュ",1,"QBE3","P832","","517",,8839405,"非免疫性胎児水腫",1,210,20020601,,"00",0,"",""
0,20094493,"脾門部リンパ節転移","ヒモンブリンパセツテンイ",1,"H510","C772","","517",,8845728,"脾門部リンパ節転移",1,283,20100301,,"00",0,"",""
0,20075008,"百日咳","ヒャクニチゼキ",1,"D21V","A379","","517",,339001,"百日咳",1,200,,,"00",0,"",""
0,20103824,"百日咳菌による百日咳","ヒャクニチゼキキンニヨルヒャクニチゼキ",1,"K53N","A370","","517",,8850083,"百日咳菌による百日咳",1,501,20200101,,"00",0,"",""
0,20072454,"日焼け","ヒヤケ",1,"GCED","L559","","517",,8839406,"日焼け",1,210,20020601,,"00",0,"",""
0,20075012,"表現的失語症","ヒョウゲンテキシツゴショウ",1,"C2M4","R470","","517",,8839407,"表現的失語症",1,210,20020601,,"00",0,"",""
0,20075014,"表在性角膜炎","ヒョウザイセイカクマクエン",1,"PEDQ","H161","","517",,3702014,"表在性角膜炎",1,200,,,"00",0,"",""
