field_name,source_table_name,source_field_name,source_code,source_code_description,source_vocabulary_id,source_domain_id,reccount,stcm,std_mapped,rn,source_concept_id,source_concept_name,source_concept_vocabulary_id,source_concept_domain_id,source_concept_class_id,target_concept_id,target_concept_name,target_concept_vocabulary_id,target_concept_domain_id,target_concept_class_id,target_standard_concept,target_valid_start_date,target_valid_end_date,target_invalid_reason
drug_source_value,InjectionData,inj_medicine_cd_yj,4240404A3027,4240404A3027||(癌)オニバイド点滴静注43mg,RINCHU_DRUG,Drug,1102,Y,Y,1,0,No matching concept,None,Metadata,Undefined,42656229,irinotecan liposomal 4.3 MG/ML Injectable Solution,RxNorm Extension,Drug,Clinical Drug,S,2019-11-01,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,1214401A5022,1214401A5022|101665902|2％キシロカイン静注用（100mg/5mL）,RINCHU_DRUG,Drug,1101,Y,U,1,0,No matching concept,None,Metadata,Undefined,0,No matching concept,None,Metadata,Undefined,,1970-01-01,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,4211402D1020,4211402D1020|109034501|(癌)イホマイド注（1g）,RINCHU_DRUG,Drug,1090,Y,Y,1,0,No matching concept,None,Metadata,Undefined,42628951,ifosfamide 1000 MG Injection,RxNorm,Drug,Clinical Drug,S,2016-06-06,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,6249401A1076,6249401A1076||リネゾリド点滴静注600mg/300mL「ＨＫ」,RINCHU_DRUG,Drug,1084,Y,Y,1,0,No matching concept,None,Metadata,Undefined,46276322,linezolid 2 MG/ML Injection,RxNorm,Drug,Clinical Drug,S,2015-09-08,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,4291420A1022,4291420A1022|120852801|(癌)ハラヴェン静注（1mg/2ml）,RINCHU_DRUG,Drug,1067,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35603881,eribulin mesylate 0.5 MG/ML Injection,RxNorm,Drug,Clinical Drug,S,2016-05-02,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,3253410A3034,3253410A3034|107535902|モリヘパミン注（500mL）（肝不全用),RINCHU_DRUG,Drug,1016,Y,U,1,0,No matching concept,None,Metadata,Undefined,0,No matching concept,None,Metadata,Undefined,,1970-01-01,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,3999403D1280,3999403D1280|108896004|（膵炎用）ｶﾞﾍﾞｷｻｰﾄﾒｼﾙ酸塩注射用（100mg）,RINCHU_DRUG,Drug,1007,Y,U,1,0,No matching concept,None,Metadata,Undefined,0,No matching concept,None,Metadata,Undefined,,1970-01-01,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,1214400G2021,1214400G2021||【ISO対応品】ｷｼﾛｶｲﾝ注ｼﾘﾝｼﾞ1％（100mg/10mL）,RINCHU_DRUG,Drug,1006,Y,Y,1,0,No matching concept,None,Metadata,Undefined,42902630,lidocaine hydrochloride 10 MG/ML Prefilled Syringe,RxNorm,Drug,Clinical Drug,S,2012-12-03,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,3929403A1034,3929403A1034|108547101|ロイコボリン注（3mg/1mL）,RINCHU_DRUG,Drug,985,Y,Y,1,0,No matching concept,None,Metadata,Undefined,40930934,Leucovorin 3 MG/ML Injectable Solution,RxNorm Extension,Drug,Clinical Drug,S,2017-08-24,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,2134400D1039,2134400D1039|102684902|ダイアモックス注射用 500mg,RINCHU_DRUG,Drug,979,Y,Y,1,0,No matching concept,None,Metadata,Undefined,19072240,acetazolamide 500 MG Injection,RxNorm,Drug,Clinical Drug,S,1970-01-01,2099-12-31,
