source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
20050426,45534423,MEDIS_DIAGKNR_S,R06.8|あくび,4305080,SNOMED,1990-05-01,2099-12-31,
20050427,45601988,MEDIS_DIAGKNR_S,Q82.5|あざ,135287,SNOMED,1990-05-01,2099-12-31,
20050428,45548928,MEDIS_DIAGKNR_S,Q73.1|あざらし肢症,4119283,SNOMED,1990-05-01,2099-12-31,
20050430,45556914,MEDIS_DIAGKNR_S,A66.1|いちご腫,141795,SNOMED,1990-05-01,2099-12-31,
20050431,45573006,MEDIS_DIAGKNR_S,R06.5|いびき,4298207,SNOMED,1990-05-01,2099-12-31,
20050435,45601989,MEDIS_DIAGKNR_S,Q82.8|いぼ状表皮異形成,132446,SNOMED,1990-05-01,2099-12-31,
20050436,45572198,MEDIS_DIAGKNR_S,K13.4|いぼ性口腔粘膜黄色腫,4232106,SNOMED,1990-05-01,2099-12-31,
20050439,45596387,MEDIS_DIAGKNR_S,L81.8|いれずみ,4185471,SNOMED,1990-05-01,2099-12-31,
20050444,45601190,MEDIS_DIAGKNR_S,K76.1|うっ血肝,200451,SNOMED,1990-05-01,2099-12-31,
20050448,45534421,MEDIS_DIAGKNR_S,R02|うっ血性壊疽,439928,SNOMED,1990-05-01,2099-12-31,
20050449,45562509,MEDIS_DIAGKNR_S,K75.9|うっ血性肝炎,194990,SNOMED,1990-05-01,2099-12-31,
20050450,45601190,MEDIS_DIAGKNR_S,K76.1|うっ血性肝硬変,200451,SNOMED,1990-05-01,2099-12-31,
20050451,45591018,MEDIS_DIAGKNR_S,D73.2|うっ血性巨脾,196951,SNOMED,1990-05-01,2099-12-31,
20050452,45595773,MEDIS_DIAGKNR_S,D69.8|うっ血性紫斑病,432585,SNOMED,1990-05-01,2099-12-31,
20050455,45572165,MEDIS_DIAGKNR_S,J31.0|うっ血性鼻炎,259848,SNOMED,1990-05-01,2099-12-31,
20050458,45562260,MEDIS_DIAGKNR_S,H47.1|うっ血乳頭,4308632,SNOMED,1990-05-01,2099-12-31,
20050463,45547674,MEDIS_DIAGKNR_S,F10.7|うつ状態アルコール中毒,37164773,SNOMED,1990-05-01,2099-12-31,
20050474,45582696,MEDIS_DIAGKNR_S,R14|おくび,4091513,SNOMED,1990-05-01,2099-12-31,
20050476,45595611,MEDIS_DIAGKNR_S,B26.9|おたふくかぜ,4290000,SNOMED,1990-05-01,2099-12-31,
20050486,45577030,MEDIS_DIAGKNR_S,L22|おむつ皮膚炎,200164,SNOMED,1990-05-01,2099-12-31,
