source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
A254,45548947,MEDIS_DIAGEXC_S,R10.2|坐骨部痛,4168216,SNOMED,1990-05-01,2099-12-31,
A25T,45557064,MEDIS_DIAGEXC_S,D23.9|乳頭状汗腺腫,138102,SNOMED,1990-05-01,2099-12-31,
A27B,42618100,MEDIS_DIAGEXC_S,M62.69|筋ストレイン,4168796,SNOMED,2016-12-01,2099-12-31,
A2AG,45538552,MEDIS_DIAGEXC_S,K82.4|胆のうコレステローシス,197318,SNOMED,1990-05-01,2099-12-31,
A2AM,42617488,MEDIS_DIAGEXC_S,M43.29|癒合椎,4187244,SNOMED,2016-12-01,2099-12-31,
A2BU,45567230,MEDIS_DIAGEXC_S,I80.2|下肢静脈血栓症後遺症,4221821,SNOMED,1990-05-01,2099-12-31,
A2DG,45573027,MEDIS_DIAGEXC_S,R46.4|反応性低下,4164648,SNOMED,1990-05-01,2099-12-31,
A2DJ,45571489,MEDIS_DIAGEXC_S,C15.9|食道横紋筋肉腫,26638,SNOMED,1990-05-01,2099-12-31,
A2EA,45543382,MEDIS_DIAGEXC_S,L75.2|アポクリン汗疹,136186,SNOMED,1990-05-01,2099-12-31,
A2EF,45534380,MEDIS_DIAGEXC_S,Q40.2|先天性胃憩室,194151,SNOMED,1990-05-01,2099-12-31,
A2EL,45567312,MEDIS_DIAGEXC_S,K55.1|腸間膜静脈硬化症,199064,SNOMED,1990-05-01,2099-12-31,
A2FU,45533016,MEDIS_DIAGEXC_S,E10.4|１型糖尿病性神経痛,201254,SNOMED,1990-05-01,2099-12-31,
A2FU,45533016,MEDIS_DIAGEXC_S,E10.4|１型糖尿病性神経痛,377821,SNOMED,1990-05-01,2099-12-31,
A2FU,45533163,MEDIS_DIAGEXC_S,G63.2|１型糖尿病性神経痛,376112,SNOMED,1990-05-01,2099-12-31,
A2GH,45547638,MEDIS_DIAGEXC_S,E14.5|糖尿病性動脈硬化症,321822,SNOMED,1990-05-01,2099-12-31,
A2GH,45562402,MEDIS_DIAGEXC_S,I79.8|糖尿病性動脈硬化症,443784,SNOMED,1990-05-01,2099-12-31,
